transaction_id,customer_id,outlet_id,location_id,transaction_date,purchase_amount,product_category,is_premium_purchase,payment_method,discount_applied,customer_rating,weekend_flag,time_of_day,season
TRX000000,CUST0082,OUT002,LOC004,2024-01-01 10:00:00,2996852.783700739,Mid_Range_Automotive,False,Credit Card,0.036854445972481144,1.4664688946555455,0,Morning,Winter
TRX000001,CUST0686,OUT029,LOC014,2024-01-01 18:00:00,9497.831353084553,General_Retail,False,Credit Card,0.23324176361403842,1.2037202205969262,0,Evening,Winter
TRX000002,CUST0707,OUT023,LOC007,2024-01-01 09:00:00,1507528.3014145358,Mid_Range_Automotive,False,Wallet,0.14631929386874987,3.394354869341557,0,Morning,Winter
TRX000003,CUST0406,OUT015,LOC016,2024-01-01 18:00:00,862741.99858767,Budget_Automotive,False,UPI,0.28931798321922136,3.561862231304315,0,Evening,Winter
TRX000004,CUST0497,OUT020,LOC002,2024-01-01 09:00:00,433847.9356556088,Designer_Jewelry,False,Credit Card,0.2663724879533005,2.6957963453592604,0,Morning,Winter
TRX000005,CUST0125,OUT028,LOC005,2024-01-01 18:00:00,89496.4766033937,Luxury_Fashion,True,Credit Card,0.4701933108776367,3.6493330521488034,0,Evening,Winter
TRX000006,CUST0313,OUT019,LOC014,2024-01-01 12:00:00,521198.01031330676,Budget_Automotive,False,Credit Card,0.1929614097598818,2.3061254427849005,0,Afternoon,Winter
TRX000007,CUST0431,OUT002,LOC004,2024-01-01 12:00:00,2907109.787021159,Mid_Range_Automotive,False,Credit Card,0.023234538722063814,2.976742170712776,0,Afternoon,Winter
TRX000008,CUST0774,OUT041,LOC001,2024-01-01 09:00:00,290555.8735437817,Designer_Jewelry,False,Cash,0.19734702104569962,3.9871946015029813,0,Morning,Winter
TRX000009,CUST0544,OUT032,LOC004,2024-01-01 09:00:00,372836.2523372911,Premium_Electronics,True,Credit Card,0.5863559233610028,4.051989050891165,0,Morning,Winter
TRX000010,CUST0229,OUT016,LOC013,2024-01-01 09:00:00,3680361.4012504457,Mid_Range_Automotive,False,Credit Card,0.5834848891565543,2.456411972548645,0,Morning,Winter
TRX000011,CUST0686,OUT003,LOC004,2024-01-01 12:00:00,540104.9223121121,Budget_Automotive,False,Cash,0.15823829277772158,2.4464086320789478,0,Afternoon,Winter
TRX000012,CUST0269,OUT008,LOC007,2024-01-02 13:00:00,118271.54295766275,Premium_Lifestyle,True,UPI,0.06418314234283212,3.2025997889619133,0,Afternoon,Winter
TRX000013,CUST0302,OUT035,LOC008,2024-01-02 13:00:00,13456.074219039985,General_Retail,False,UPI,0.10037928307437599,3.5401334383992213,0,Afternoon,Winter
TRX000014,CUST0914,OUT037,LOC000,2024-01-02 10:00:00,402915.89297037065,Designer_Jewelry,False,UPI,0.2207035971448781,4.647280531086913,0,Morning,Winter
TRX000015,CUST0343,OUT029,LOC014,2024-01-02 18:00:00,7816.332836278537,General_Retail,False,Debit Card,0.223642631193854,2.2633517749042467,0,Evening,Winter
TRX000016,CUST0487,OUT019,LOC014,2024-01-02 18:00:00,905162.423933932,Budget_Automotive,False,Credit Card,0.2594450867553403,2.04647164863595,0,Evening,Winter
TRX000017,CUST0844,OUT022,LOC007,2024-01-02 12:00:00,108151.83562581625,Premium_Electronics,True,Credit Card,0.30146708959382307,3.435503185484589,0,Afternoon,Winter
TRX000018,CUST0638,OUT034,LOC002,2024-01-02 18:00:00,473767.06637330964,Designer_Jewelry,False,Debit Card,0.3782628721959218,3.0402914781961,0,Evening,Winter
TRX000019,CUST0447,OUT035,LOC008,2024-01-03 09:00:00,12897.247768460427,General_Retail,False,Cash,0.0467489331376212,3.435364929055904,0,Morning,Winter
TRX000020,CUST0253,OUT037,LOC000,2024-01-03 18:00:00,444506.61678733735,Designer_Jewelry,False,Credit Card,0.2933143392289731,4.1944253336246415,0,Evening,Winter
TRX000021,CUST0729,OUT001,LOC003,2024-01-03 18:00:00,262834.0518500973,Luxury_Fashion,True,Credit Card,0.19047787414429418,3.9907103317506416,0,Evening,Winter
TRX000022,CUST0542,OUT039,LOC009,2024-01-03 09:00:00,74409.90685008743,Premium_Electronics,True,Cash,0.1668648571262844,3.7039494139925084,0,Morning,Winter
TRX000023,CUST0009,OUT040,LOC008,2024-01-03 18:00:00,57039.814852536045,Premium_Lifestyle,True,Debit Card,0.309431255355469,4.100433117854873,0,Evening,Winter
TRX000024,CUST0697,OUT023,LOC007,2024-01-03 18:00:00,4057957.480749576,Mid_Range_Automotive,False,Debit Card,0.33240316182702384,3.446102762915311,0,Evening,Winter
TRX000025,CUST0073,OUT018,LOC010,2024-01-03 12:00:00,4161314.916996967,Mid_Range_Automotive,False,Credit Card,0.0971554971291209,3.1002774935438744,0,Afternoon,Winter
TRX000026,CUST0166,OUT013,LOC000,2024-01-03 12:00:00,3866256.4495644765,Mid_Range_Automotive,False,Debit Card,0.3763226531456416,2.6650053941934604,0,Afternoon,Winter
TRX000027,CUST0271,OUT004,LOC016,2024-01-04 13:00:00,291924.66047997266,Premium_Electronics,True,Debit Card,0.09061564538455291,3.950422307382961,0,Afternoon,Winter
TRX000028,CUST0002,OUT023,LOC007,2024-01-04 12:00:00,2129274.5778718595,Mid_Range_Automotive,False,Debit Card,0.15702111779811226,3.933999757670698,0,Afternoon,Winter
TRX000029,CUST0710,OUT001,LOC003,2024-01-04 09:00:00,327668.8542752906,Luxury_Fashion,True,Debit Card,0.14946354783599072,4.3411581668751955,0,Morning,Winter
TRX000030,CUST0297,OUT018,LOC010,2024-01-04 12:00:00,3649759.207820592,Mid_Range_Automotive,False,UPI,0.44736153936749,4.93080292504936,0,Afternoon,Winter
TRX000031,CUST0261,OUT037,LOC000,2024-01-04 19:00:00,871579.9334964079,Designer_Jewelry,False,Debit Card,0.42078853141809514,4.353217181952582,0,Evening,Winter
TRX000032,CUST0488,OUT020,LOC002,2024-01-04 12:00:00,808156.9354017924,Designer_Jewelry,False,Cash,0.4099040192218676,4.244222954595951,0,Afternoon,Winter
TRX000033,CUST0628,OUT024,LOC015,2024-01-04 18:00:00,1140599.578929008,Budget_Automotive,False,Cash,0.3187208433440685,3.1453486957472663,0,Evening,Winter
TRX000034,CUST0635,OUT047,LOC004,2024-01-04 18:00:00,85154.46203402962,Premium_Lifestyle,True,Debit Card,0.28490819076199914,4.336205893553201,0,Evening,Winter
TRX000035,CUST0277,OUT047,LOC004,2024-01-04 10:00:00,72536.28548914824,Premium_Lifestyle,True,Debit Card,0.25272942944983967,3.639824382324144,0,Morning,Winter
TRX000036,CUST0171,OUT020,LOC002,2024-01-04 09:00:00,457274.64068183565,Designer_Jewelry,False,Credit Card,0.47732258069941524,4.460630648722309,0,Morning,Winter
TRX000037,CUST0823,OUT019,LOC014,2024-01-05 08:00:00,550910.528341214,Budget_Automotive,False,Cash,0.38646097047034766,2.2279088741857436,0,Morning,Winter
TRX000038,CUST0687,OUT002,LOC004,2024-01-05 18:00:00,3020638.4722166955,Mid_Range_Automotive,False,Debit Card,0.13629168064479294,2.647947168452238,0,Evening,Winter
TRX000039,CUST0503,OUT048,LOC000,2024-01-05 12:00:00,1044665.9307019077,Designer_Jewelry,False,UPI,0.2571857957961061,4.076484920475395,0,Afternoon,Winter
TRX000040,CUST0306,OUT047,LOC004,2024-01-05 12:00:00,108719.57282069932,Premium_Lifestyle,True,Credit Card,0.23955581241532217,3.5839401779619924,0,Afternoon,Winter
TRX000041,CUST0131,OUT015,LOC016,2024-01-05 18:00:00,620447.5428961329,Budget_Automotive,False,UPI,0.6392949102179362,3.257426557406032,0,Evening,Winter
TRX000042,CUST0395,OUT018,LOC010,2024-01-05 09:00:00,2918243.535917099,Mid_Range_Automotive,False,Debit Card,0.1460997130666971,4.147650546153629,0,Morning,Winter
TRX000043,CUST0683,OUT007,LOC002,2024-01-05 12:00:00,134296.54349220791,Luxury_Fashion,True,Debit Card,0.46483947029334016,5.0,0,Afternoon,Winter
TRX000044,CUST0741,OUT019,LOC014,2024-01-05 10:00:00,470927.41520682914,Budget_Automotive,False,Cash,0.1514689653326574,1.2560183384203358,0,Morning,Winter
TRX000045,CUST0081,OUT033,LOC008,2024-01-06 09:00:00,8379.519711016294,General_Retail,False,Cash,0.35466532924158134,3.5395446020227186,1,Morning,Winter
TRX000046,CUST0862,OUT017,LOC014,2024-01-06 12:00:00,12690.77374562295,General_Retail,False,Debit Card,0.17641021913561086,2.532408020098652,1,Afternoon,Winter
TRX000047,CUST0104,OUT038,LOC006,2024-01-06 13:00:00,16444.845617967097,Premium_Lifestyle,True,Debit Card,0.23701375118578774,3.2272906300090116,1,Afternoon,Winter
TRX000048,CUST0671,OUT027,LOC010,2024-01-06 18:00:00,4778475.949679472,Mid_Range_Automotive,False,Cash,0.14572698786699248,2.3841534157804807,1,Evening,Winter
TRX000049,CUST0456,OUT011,LOC003,2024-01-06 12:00:00,19224491.96335879,Luxury_Automotive,True,Credit Card,0.020614904904992442,4.134377993644195,1,Afternoon,Winter
TRX000050,CUST0761,OUT024,LOC015,2024-01-06 18:00:00,1466824.8419005745,Budget_Automotive,False,Wallet,0.4645325638606181,3.028547723409629,1,Evening,Winter
TRX000051,CUST0114,OUT011,LOC003,2024-01-06 18:00:00,18955917.145693526,Luxury_Automotive,True,Credit Card,0.2737071954108171,4.341690757807434,1,Evening,Winter
TRX000052,CUST0935,OUT045,LOC000,2024-01-06 18:00:00,25244216.302587923,Luxury_Automotive,True,Credit Card,0.3828459578760426,4.093828348124802,1,Evening,Winter
TRX000053,CUST0949,OUT018,LOC010,2024-01-06 12:00:00,2724706.9024854754,Mid_Range_Automotive,False,Debit Card,0.0670501504968209,3.759197576396254,1,Afternoon,Winter
TRX000054,CUST0042,OUT014,LOC000,2024-01-07 18:00:00,86902.04931335727,Premium_Lifestyle,True,Debit Card,0.1568171513838792,3.328179696731029,1,Evening,Winter
TRX000055,CUST0173,OUT023,LOC007,2024-01-07 12:00:00,3703410.209490845,Mid_Range_Automotive,False,Credit Card,0.5949375630992934,3.431625827341426,1,Afternoon,Winter
TRX000056,CUST0248,OUT039,LOC009,2024-01-07 09:00:00,194199.83762754235,Premium_Electronics,True,Credit Card,0.13164454323085673,2.9835524520951777,1,Morning,Winter
TRX000057,CUST0457,OUT046,LOC016,2024-01-07 09:00:00,817394.8343685287,Budget_Automotive,False,Credit Card,0.3797105466701097,1.843350177126341,1,Morning,Winter
TRX000058,CUST0179,OUT033,LOC008,2024-01-07 19:00:00,6652.739763613695,General_Retail,False,Debit Card,0.15193010069789298,3.2066270827077794,1,Evening,Winter
TRX000059,CUST0284,OUT004,LOC016,2024-01-07 12:00:00,143863.11903518828,Premium_Electronics,True,Credit Card,0.17705823787348035,2.7090713461921707,1,Afternoon,Winter
TRX000060,CUST0893,OUT030,LOC001,2024-01-07 09:00:00,24649.915208550636,Premium_Lifestyle,True,Credit Card,0.12317685677725031,4.884045395742074,1,Morning,Winter
TRX000061,CUST0411,OUT017,LOC014,2024-01-07 19:00:00,9403.318224040237,General_Retail,False,Credit Card,0.10217564639534124,2.492353486085646,1,Evening,Winter
TRX000062,CUST0692,OUT046,LOC016,2024-01-08 09:00:00,755180.5714739767,Budget_Automotive,False,Cash,0.23565557847425703,2.213377070848049,0,Morning,Winter
TRX000063,CUST0932,OUT023,LOC007,2024-01-08 12:00:00,3301466.315288623,Mid_Range_Automotive,False,Wallet,0.4902798407203394,3.525937448393646,0,Afternoon,Winter
TRX000064,CUST0785,OUT021,LOC001,2024-01-08 19:00:00,71281.04850458843,Premium_Electronics,True,Credit Card,0.11981151636605915,4.391491938859433,0,Evening,Winter
TRX000065,CUST0159,OUT001,LOC003,2024-01-08 09:00:00,320614.4419945848,Luxury_Fashion,True,Debit Card,0.16184126367138912,4.414931677805824,0,Morning,Winter
TRX000066,CUST0122,OUT029,LOC014,2024-01-08 18:00:00,9731.469474453768,General_Retail,False,Debit Card,0.09310943983391581,1.3851022478195434,0,Evening,Winter
TRX000067,CUST0728,OUT046,LOC016,2024-01-08 09:00:00,1080137.9304836155,Budget_Automotive,False,Debit Card,0.1597138099589885,2.54837650847534,0,Morning,Winter
TRX000068,CUST0246,OUT000,LOC003,2024-01-08 18:00:00,16851.2628574398,Premium_Lifestyle,True,Cash,0.05786935635450916,4.083227926190447,0,Evening,Winter
TRX000069,CUST0060,OUT024,LOC015,2024-01-09 09:00:00,1397273.3745883752,Budget_Automotive,False,Debit Card,0.2747556086500999,2.6515771965307757,0,Morning,Winter
TRX000070,CUST0361,OUT018,LOC010,2024-01-09 18:00:00,2827821.690812045,Mid_Range_Automotive,False,Wallet,0.2111932627583876,3.806878541050966,0,Evening,Winter
TRX000071,CUST0873,OUT033,LOC008,2024-01-09 18:00:00,11260.419292295435,General_Retail,False,Debit Card,0.35188634123452156,3.116805145424375,0,Evening,Winter
TRX000072,CUST0262,OUT048,LOC000,2024-01-09 09:00:00,1112171.2414706543,Designer_Jewelry,False,Credit Card,0.5532569555735956,3.706332513137135,0,Morning,Winter
TRX000073,CUST0089,OUT036,LOC012,2024-01-09 09:00:00,3509720.6335098,Mid_Range_Automotive,False,Debit Card,0.22065506329281545,3.096364570075721,0,Morning,Winter
TRX000074,CUST0884,OUT040,LOC008,2024-01-09 18:00:00,54377.65213177597,Premium_Lifestyle,True,UPI,0.06593902577095025,3.1417341329200146,0,Evening,Winter
TRX000075,CUST0775,OUT045,LOC000,2024-01-09 12:00:00,21287789.312719993,Luxury_Automotive,True,UPI,0.048902153025074016,3.933262630442557,0,Afternoon,Winter
TRX000076,CUST0541,OUT031,LOC001,2024-01-09 18:00:00,138240.17100623375,Luxury_Fashion,True,Credit Card,0.09935414865074606,3.2997993638894476,0,Evening,Winter
TRX000077,CUST0315,OUT017,LOC014,2024-01-09 09:00:00,10947.064417869184,General_Retail,False,Credit Card,0.5151301175405092,3.193594735784547,0,Morning,Winter
